|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  0.9769|          |      8.829|  45.391|       -1.553|            |           |
|  0.9776|          |      8.780|  45.049|       -1.846|            |NC         |
|  0.9784|          |      8.427|  45.790|       -0.751|            |ndRI       |
|  0.9785|          |      7.723|  44.982|       -0.855|            |NC         |
|  0.9800|          |      8.782|  46.039|       -0.857|            |NC         |
|  0.9822|          |      8.681|  45.214|       -1.581|            |NC         |
|  0.9824|          |      8.976|  46.287|       -0.804|            |ndRI       |
|  0.9830|          |      8.213|  45.977|       -0.350|            |           |
|  0.9830|          |      8.973|  45.732|       -1.354|            |ndRI       |
|  0.9950|          |      8.933|  45.888|       -1.159|            |ndRI       |
|  0.9994|          |      8.140|  45.243|       -1.011|            |ndRI       |
|  0.9997|          |      9.031|  46.676|       -0.469|            |ndRI       |
|  1.0002|          |      9.097|  46.802|       -0.409|            |ndRI       |
|  1.0013|          |      9.171|  46.302|       -0.983|            |ndRI       |
|  1.0026|    4.5605|      8.454|  45.227|       -1.341|      3.5349|RL         |
|  1.0048|          |      8.618|  45.199|       -1.533|            |ndRI       |
|  1.0072|          |      8.822|  46.253|       -0.682|            |ndRI       |
|  1.0103|          |      8.649|  45.563|       -1.199|            |NC         |
|  1.0225|          |      8.828|  45.304|       -1.638|            |ndRI       |
|  1.0238|          |     10.092|  46.753|       -1.453|            |ndRI       |
|  1.0241|          |      9.325|  46.943|       -0.496|            |NC         |
|  1.0245|          |      8.969|  46.816|       -0.267|            |           |
|  1.0271|          |      8.807|  45.846|       -1.075|            |ndRI       |
|  1.0277|          |      8.567|  45.855|       -0.826|            |ndRI       |
|  1.0283|    0.6400|      8.459|  44.747|       -1.826|      0.4992|dRI        |
|  1.0313|          |      9.055|  45.326|       -1.843|            |ndRI       |
|  1.0374|          |      9.004|  46.792|       -0.325|            |ndRI       |
|  1.0408|          |      8.726|  45.194|       -1.646|            |ndRI       |
|  1.0409|          |      8.318|  45.779|       -0.653|            |ndRI       |
|  1.0419|          |      9.099|  46.454|       -0.759|            |ndRI       |
|  1.0447|    3.5906|      8.122|  45.558|       -0.678|      2.8122|RL         |
|  1.0477|          |      9.085|  46.222|       -0.977|            |ndRI       |
|  1.0482|          |      8.278|  46.206|       -0.186|            |NC         |
|  1.0491|          |      8.679|  46.641|       -0.152|            |ndRI       |
|  1.0500|          |      8.537|  45.066|       -1.585|            |ndRI       |
|  1.0525|          |      7.967|  45.690|       -0.391|            |NC         |
|  1.0541|          |      8.724|  46.199|       -0.638|            |ndRI       |
|  1.0574|          |      8.212|  45.638|       -0.688|            |NC         |
|  1.0635|          |      8.075|  45.251|       -0.939|            |NC         |
|  1.0649|          |      8.966|  46.210|       -0.870|            |ndRI       |
|  1.0665|          |      8.749|  46.182|       -0.681|            |ndRI       |
|  1.0744|          |      8.942|  46.264|       -0.792|            |ndRI       |
|  1.0749|          |      8.500|  46.134|       -0.480|            |           |
|  1.0755|          |      8.828|  45.988|       -0.954|            |ndRI       |
|  1.0760|          |      8.493|  46.504|       -0.102|            |           |
|  1.0822|          |      8.744|  45.323|       -1.534|            |ndRI       |
|  1.0833|          |      9.173|  46.401|       -0.886|            |ndRI       |
|  1.0864|          |      9.526|  46.486|       -1.154|            |ndRI       |
|  1.0881|  168.8570|      8.412|  46.338|       -0.187|    133.6446|RL         |
|  1.0893|          |      8.296|  44.740|       -1.670|            |NC         |
|  1.0899|          |      9.162|  46.374|       -0.902|            |NC         |
|  1.0926|          |      7.979|  45.795|       -0.298|            |ndRI       |
|  1.0939|          |      9.251|  45.784|       -1.580|            |ndRI       |
|  1.0963|          |      8.838|  45.688|       -1.264|            |ndRI       |
|  1.1033|          |      8.852|  46.319|       -0.647|            |ndRI       |
